utvi_setor_rank,CD_SETOR,NM_BAIRRO,NM_MUN,utvi_setor_exploratory,utvi_setor_class,quality_flag_setor,LST_C_median_mean,LST_C_p75_mean,pct_urbana_land,NDVI_median_mean,NDBI_median_mean,pct_lst_valid_land,area_land_ha,n_pixels_land_aprox
1,431490205002570,Farrapos,Porto Alegre,0.9490435928992635,muito alta,ok,41.76298270496745,49.420519997967936,100.0,0.1759042826113044,0.1139643964167312,100.0,5.7483091268177136,63.870101409085706
2,431490205001328,Farrapos,Porto Alegre,0.9485926639911625,muito alta,ok,42.56844302929154,49.35986051997344,100.0,0.1961480803362038,0.0981774079451318,100.0,6.875994788665398,76.3999420962822
3,431490205001883,Sarandi,Porto Alegre,0.9425138382631694,muito alta,ok,42.99168294010296,47.07120191477976,100.0,0.2081992595926941,0.1414041930583517,100.0,2.219967478367628,24.66630531519587
4,431490205001330,Farrapos,Porto Alegre,0.940275856132814,muito alta,ok,42.65663988374135,48.66801150228078,100.0,0.1909872715500188,0.0868938862300777,100.0,4.843479812525067,53.81644236138963
5,431490205001329,Farrapos,Porto Alegre,0.9325559746677536,muito alta,ok,43.09174962601342,49.39948676112606,100.0,0.2359867132601182,0.0606169230626932,100.0,4.626591613567343,51.40657348408159
6,431490205001978,Santa Rosa de Lima,Porto Alegre,0.9163751914345456,muito alta,ok,42.12601590042163,45.72744352580484,100.0,0.2227396784940499,0.1513428381208406,100.0,2.897297560204479,32.1921951133831
7,431490205001881,Sarandi,Porto Alegre,0.9133511821398347,muito alta,ok,42.22551201571975,46.14445141313492,100.0,0.2346732240820488,0.1354816302398088,100.0,2.558786741454228,28.43096379393586
8,431490205002569,Farrapos,Porto Alegre,0.9079336045717366,muito alta,ok,42.013675839451,47.09982987831764,100.0,0.2126166414146354,0.082064700374433,100.0,4.483971934458789,49.82191038287544
9,431490205001346,Humaitá,Porto Alegre,0.9048778141875523,muito alta,ok,41.77365886863604,47.679485536807405,100.0,0.2172723244276815,0.06910302525728,100.0,2.4390447511100293,27.10049723455588
10,431490205001862,Sarandi,Porto Alegre,0.9005008351998235,muito alta,ok,41.89432981911971,45.36804685647882,100.0,0.2322651735175724,0.1324681355691538,100.0,3.800231356276016,42.22479284751129
11,431490205001351,Navegantes,Porto Alegre,0.8992625477457835,muito alta,ok,40.14084519134192,47.25615040927352,100.0,0.1892786070065798,0.1086703084999614,100.0,6.415854249193388,71.28726943548209
12,431490205001325,Farrapos,Porto Alegre,0.8977096034563908,muito alta,ok,41.92956844901539,48.33169203699691,100.0,0.2775430251029303,0.0701211344070788,100.0,4.455858540914808,49.50953934349787
13,431490205001887,Sarandi,Porto Alegre,0.8939236714674251,muito alta,ok,41.52824667685271,45.36260840669718,100.0,0.2340674988867624,0.1294965810610739,100.0,2.330942343818206,25.899359375757847
14,431490205001323,Farrapos,Porto Alegre,0.8938002901046254,muito alta,ok,41.9136881585054,46.78213171476402,100.0,0.2541908683017914,0.0871552618171431,100.0,6.635243454984592,73.72492727760658
15,431490205001308,Farrapos,Porto Alegre,0.8935625642975026,muito alta,ok,41.7507573371492,45.85499256306351,100.0,0.1933279296511509,0.0724919956523582,100.0,2.062829747094828,22.92033052327586
16,431490205001879,Sarandi,Porto Alegre,0.8928685198353371,muito alta,ok,41.62300171599309,45.23368627989614,100.0,0.2461940923273753,0.1360722387867292,100.0,3.6953616364913824,41.05957373879314
17,431490205001322,Farrapos,Porto Alegre,0.8918468487875529,muito alta,ok,42.00406760789343,47.482690509797,100.0,0.2812047074755096,0.0782649020243981,100.0,2.160800580388191,24.008895337646567
18,431490205002407,Sarandi,Porto Alegre,0.8914797564188068,muito alta,ok,41.56216791020177,45.40116296444609,100.0,0.228942045694886,0.1157649729364876,100.0,2.491450355128915,27.68278172365461
19,431490205001309,Farrapos,Porto Alegre,0.8899566898784084,muito alta,ok,42.17984345598091,46.55626928431305,100.0,0.2553832549270851,0.0729221251545641,100.0,2.5814117418200357,28.68235268688928
20,431490205002401,Farrapos,Porto Alegre,0.8892894470247537,muito alta,ok,41.66299797086536,46.92619951173529,100.0,0.2478195552246516,0.0746516054502797,100.0,5.960842860972179,66.23158734413533
21,431490205001979,Santa Rosa de Lima,Porto Alegre,0.8885398444291333,muito alta,ok,41.649949644414335,45.884849231029534,100.0,0.2579980633524483,0.1121965238126424,100.0,3.8672723141955383,42.96969237995043
22,431490205001893,Sarandi,Porto Alegre,0.8862294092216609,muito alta,ok,40.88499846100496,45.0867120259495,100.0,0.2222855663124842,0.1317015814154665,100.0,2.279768401851841,25.33076002057601
23,431490205001860,Sarandi,Porto Alegre,0.8841989567746676,muito alta,ok,41.87356380254611,44.69820332216603,100.0,0.2541944914688601,0.1229938062609769,100.0,3.190380618356022,35.44867353728914
24,431490205001311,Farrapos,Porto Alegre,0.8832419518852648,muito alta,ok,42.22868988063527,46.61289704983607,100.0,0.2703527702350646,0.061474686407569,100.0,1.338218051165927,14.86908945739919
25,431490205002378,Santa Rosa de Lima,Porto Alegre,0.8819484547050089,muito alta,ok,41.22371558673621,44.97241279429697,100.0,0.1841157798327108,0.0787413058922384,100.0,3.096084041513649,34.4009337945961
26,431490205002912,Santa Rosa de Lima,Porto Alegre,0.8815813886449367,muito alta,ok,41.42601209819026,45.657551698793526,100.0,0.2621442397704825,0.1108977463014453,100.0,1.1816760538839826,13.129733932044251
27,431490205001974,Santa Rosa de Lima,Porto Alegre,0.8805191920559977,muito alta,ok,41.85086909766295,46.26424111958308,100.0,0.2931397311043902,0.0971562945083316,100.0,5.917784155379322,65.75315728199247
28,431490205000728,Santa Tereza,Porto Alegre,0.8797236213424409,muito alta,ok,41.46596626738009,43.87252136674397,100.0,0.2267467971116131,0.1291935080905023,100.0,1.1293167389491026,12.54796376610114
29,431490205001948,Santa Rosa de Lima,Porto Alegre,0.8783956911835291,muito alta,ok,40.92842726924943,44.5416309463626,100.0,0.2219321171572759,0.1230491678066048,100.0,1.5829531067434477,17.588367852704977
30,431490205002040,Mário Quintana,Porto Alegre,0.8780052689283494,muito alta,ok,41.4233558511104,44.38818031257527,100.0,0.2567440268249788,0.1342239747809663,100.0,1.3658981561076409,15.176646178973789
31,431490205001894,Sarandi,Porto Alegre,0.8777483695985004,muito alta,ok,42.39717566847303,46.22477555714359,100.0,0.3034510478875235,0.076472292158771,100.0,4.36538597102843,48.50428856698256
32,431490205001870,Sarandi,Porto Alegre,0.8776806452347822,muito alta,ok,40.91187925955634,46.11083131958733,100.0,0.2589178753055418,0.1039966856575879,100.0,8.83776186836116,98.19735409290178
33,431490205002380,Santa Rosa de Lima,Porto Alegre,0.8774152765752172,muito alta,ok,41.19392885961933,44.83383373007323,100.0,0.203666820466464,0.0863064909935903,100.0,3.5370744473209568,39.300827192455074
34,431490205001882,Sarandi,Porto Alegre,0.8762481505325737,muito alta,ok,41.64885324486351,45.26133986548767,100.0,0.2730582142529167,0.1068425142727231,100.0,2.1085150908897905,23.42794545433101
35,431490205001885,Sarandi,Porto Alegre,0.8742197387150583,muito alta,ok,41.90490552644653,45.67276339954923,100.0,0.2820312332583576,0.0854333866899571,100.0,2.716869764672774,30.18744182969749
36,431490205001910,Sarandi,Porto Alegre,0.8741353055583181,muito alta,ok,41.61335608081287,44.89254475530979,100.0,0.261772495471104,0.1041681522770032,100.0,2.8372024213566496,31.524471348407214
37,431490205001314,Farrapos,Porto Alegre,0.873440998146445,muito alta,ok,42.97922675705886,44.569974710588255,100.0,0.2706835066099518,0.0640294129325023,100.0,3.962550417143924,44.02833796826582
38,431490205001312,Farrapos,Porto Alegre,0.8731446827759257,muito alta,ok,41.60417833345648,45.32924801852088,100.0,0.2472037692337914,0.0770270474880887,100.0,3.975696241767967,44.17440268631075
39,431490205002216,Farrapos,Porto Alegre,0.8724383595106289,muito alta,ok,42.32493360250505,46.44731232971027,100.0,0.2913844153116183,0.0476061462291961,100.0,3.775291310046233,41.94768122273592
40,431490205001857,Sarandi,Porto Alegre,0.8720427422134206,muito alta,ok,41.83148107060007,46.04931400875911,100.0,0.2936286171669621,0.0799354930078519,100.0,5.148909232546301,57.21010258384779
41,431490205001852,Sarandi,Porto Alegre,0.8719518606774372,muito alta,ok,40.45196373033071,44.806087652382494,100.0,0.2454099539006387,0.1340044290610239,100.0,4.459461985762212,49.54957761958014
42,431490205001320,Farrapos,Porto Alegre,0.8703605370892997,muito alta,ok,41.546886947589286,45.418439195171466,100.0,0.275939978529948,0.0912834455555256,100.0,1.7327342036015847,19.25260226223983
43,431490205001975,Santa Rosa de Lima,Porto Alegre,0.8701076326774618,muito alta,ok,40.95404932787665,44.81853377307714,100.0,0.2583738616604682,0.1183574452525835,100.0,5.461663321361822,60.68514801513136
44,431490205001891,Sarandi,Porto Alegre,0.8697757656439205,muito alta,ok,40.952123470576815,44.20915311382333,100.0,0.2059935381951648,0.0941753093169254,100.0,2.7730247974980102,30.811386638866782
45,431490205002705,Mário Quintana,Porto Alegre,0.8694006680899742,muito alta,ok,41.20802227442245,44.1411107733583,100.0,0.2574038409486933,0.1255889220525217,100.0,1.5053892866945735,16.726547629939706
46,431490205001349,Humaitá,Porto Alegre,0.8653200494321759,muito alta,ok,39.23865718083827,44.01396200482412,100.0,0.1502133548685594,0.1115270407730332,100.0,8.097098539594343,89.96776155104827
47,431490205000743,Santa Tereza,Porto Alegre,0.8651120320866232,muito alta,ok,40.75637908090182,44.07520371645044,100.0,0.2354933314347692,0.1157654464018776,100.0,4.016584582568385,44.62871758409317
48,431490205001970,Santa Rosa de Lima,Porto Alegre,0.8635569170690613,muito alta,ok,40.90751963155921,45.24518481805743,100.0,0.275507119693477,0.1018649144523241,100.0,3.821644705212583,42.46271894680648
49,431490205001352,Navegantes,Porto Alegre,0.8626704937536658,muito alta,ok,40.52936116389666,44.70165022592567,100.0,0.2070592057729093,0.0764545109974414,100.0,28.794812522448755,319.9423613605417
50,431490205001313,Farrapos,Porto Alegre,0.8593633848134792,muito alta,ok,42.15239731352524,43.87376298634781,100.0,0.2605839268395463,0.0688203438056712,100.0,2.7840279674413155,30.933644082681283
